symbol,open_time_ms,open_time_utc,open,high,low,close,volume
BTCUSDT,1679439000000,2023-03-21 22:50:00,28017.56,28031.83,28013.85,28030.18,0.52283
BTCUSDT,1679439060000,2023-03-21 22:51:00,28028.58,28028.58,28014.75,28017.65,0.09941
BTCUSDT,1679439120000,2023-03-21 22:52:00,28015.61,28015.61,28003.08,28012.53,0.27122
BTCUSDT,1679439180000,2023-03-21 22:53:00,28013.09,28013.34,28010.00,28013.34,0.03219
BTCUSDT,1679439240000,2023-03-21 22:54:00,28013.94,28033.02,28013.94,28032.19,0.41247
BTCUSDT,1679439300000,2023-03-21 22:55:00,28035.15,28046.21,28033.41,28041.96,0.48913
BTCUSDT,1679439360000,2023-03-21 22:56:00,28043.21,28046.98,28042.26,28042.26,0.38101
BTCUSDT,1679439420000,2023-03-21 22:57:00,28042.33,28055.35,28028.76,28043.48,1.38773
BTCUSDT,1679439480000,2023-03-21 22:58:00,28046.97,28046.98,28032.26,28038.41,0.62069
BTCUSDT,1679439540000,2023-03-21 22:59:00,28038.41,28049.37,28027.96,28035.76,0.52298
BTCUSDT,1679439600000,2023-03-21 23:00:00,28034.03,28041.37,28013.34,28020.66,0.35022
BTCUSDT,1679439660000,2023-03-21 23:01:00,28019.39,28027.51,28017.17,28025.38,0.20596
BTCUSDT,1679439720000,2023-03-21 23:02:00,28022.39,28022.39,28010.43,28010.43,0.06440
BTCUSDT,1679439780000,2023-03-21 23:03:00,28008.94,28013.33,27990.95,28013.33,0.27587
BTCUSDT,1679439840000,2023-03-21 23:04:00,28013.34,28030.15,28013.34,28022.66,0.29276
BTCUSDT,1679439900000,2023-03-21 23:05:00,28025.06,28026.21,28013.34,28013.56,0.48303
BTCUSDT,1679439960000,2023-03-21 23:06:00,28013.49,28039.08,28011.67,28033.59,2.92648
BTCUSDT,1679440020000,2023-03-21 23:07:00,28030.16,28051.33,28029.37,28045.53,0.75071
BTCUSDT,1679440080000,2023-03-21 23:08:00,28044.83,28052.08,28034.52,28038.59,1.94478
BTCUSDT,1679440140000,2023-03-21 23:09:00,28037.88,28039.02,28033.27,28033.27,0.08565
BTCUSDT,1679440200000,2023-03-21 23:10:00,28030.16,28030.58,28016.74,28016.75,0.10597
BTCUSDT,1679440260000,2023-03-21 23:11:00,28017.05,28027.96,28013.34,28016.16,0.32790
BTCUSDT,1679440320000,2023-03-21 23:12:00,28015.77,28035.24,28010.08,28034.85,0.37691
BTCUSDT,1679440380000,2023-03-21 23:13:00,28034.85,28034.85,28007.75,28007.75,0.55100
BTCUSDT,1679440440000,2023-03-21 23:14:00,28007.74,28019.92,27996.55,28018.66,0.84128
BTCUSDT,1679440500000,2023-03-21 23:15:00,28019.54,28030.16,28019.54,28030.16,0.19326
BTCUSDT,1679440560000,2023-03-21 23:16:00,28030.16,28054.42,28030.16,28051.15,1.03291
BTCUSDT,1679440620000,2023-03-21 23:17:00,28056.70,28064.16,28049.81,28052.57,0.13013
BTCUSDT,1679440680000,2023-03-21 23:18:00,28058.39,28066.49,28053.34,28062.38,1.03372
BTCUSDT,1679440740000,2023-03-21 23:19:00,28062.38,28080.66,28062.38,28080.64,0.13421
BTCUSDT,1679440800000,2023-03-21 23:20:00,28080.64,28080.64,28063.11,28068.38,0.57461
BTCUSDT,1679440860000,2023-03-21 23:21:00,28068.66,28068.66,28055.06,28055.06,0.18246
BTCUSDT,1679440920000,2023-03-21 23:22:00,28052.74,28067.18,28052.74,28054.17,0.28990
BTCUSDT,1679440980000,2023-03-21 23:23:00,28058.02,28066.19,28054.96,28057.11,0.31452
BTCUSDT,1679441040000,2023-03-21 23:24:00,28060.83,28078.70,28059.47,28078.70,0.71793
