exchange,symbol,open_time_ms,open_time_utc,open,high,low,close,volume,volume_base_ccy,volume_quote_ccy,confirm
okx,BTCUSDT,1678014660000,2023-03-05 11:11:00,22416.2,22417.2,22414.7,22415.3,0.18816145,4217.645077891,4217.645077891,1
okx,BTCUSDT,1678014720000,2023-03-05 11:12:00,22415.4,22418,22415.4,22415.4,0.21803182,4887.32430896,4887.32430896,1
okx,BTCUSDT,1678014780000,2023-03-05 11:13:00,22415.4,22418.4,22415.4,22418.3,0.25357255,5684.112979274,5684.112979274,1
okx,BTCUSDT,1678014840000,2023-03-05 11:14:00,22418.4,22418.5,22413.2,22413.2,1.62536028,36437.474530261,36437.474530261,1
okx,BTCUSDT,1678014900000,2023-03-05 11:15:00,22413.1,22416.4,22412.7,22416.1,0.33648747,7542.491870008,7542.491870008,1
okx,BTCUSDT,1678014960000,2023-03-05 11:16:00,22416,22416.1,22406.2,22406.2,0.23774923,5328.404290893,5328.404290893,1
okx,BTCUSDT,1678015020000,2023-03-05 11:17:00,22406.2,22407.2,22406.2,22407.2,0.05222307,1170.1610841,1170.1610841,1
okx,BTCUSDT,1678015080000,2023-03-05 11:18:00,22406.2,22409.2,22405.8,22409.2,0.22214703,4977.459579614,4977.459579614,1
okx,BTCUSDT,1678015140000,2023-03-05 11:19:00,22409.3,22409.3,22408.4,22409.2,1.19176148,26705.917146463,26705.917146463,1
okx,BTCUSDT,1678015200000,2023-03-05 11:20:00,22409.3,22411.2,22409.2,22411.2,0.19093596,4279.020124012,4279.020124012,1
okx,BTCUSDT,1678015260000,2023-03-05 11:21:00,22413.7,22413.7,22411.8,22411.9,0.08983624,2013.424618546,2013.424618546,1
okx,BTCUSDT,1678015320000,2023-03-05 11:22:00,22411.9,22412.1,22411.1,22412.1,0.72078888,16154.263374041,16154.263374041,1
okx,BTCUSDT,1678015380000,2023-03-05 11:23:00,22412.1,22412.7,22412.1,22412.7,0.68200324,15285.383808895,15285.383808895,1
okx,BTCUSDT,1678015440000,2023-03-05 11:24:00,22412.7,22412.7,22409.3,22409.3,0.24945825,5590.726667664,5590.726667664,1
okx,BTCUSDT,1678015500000,2023-03-05 11:25:00,22409.4,22409.4,22401,22401,0.38580121,8645.362749495,8645.362749495,1
okx,BTCUSDT,1678015560000,2023-03-05 11:26:00,22400,22400,22396,22396,0.69863425,15647.538566927,15647.538566927,1
okx,BTCUSDT,1678015620000,2023-03-05 11:27:00,22396,22406.6,22395.2,22406.6,2.08446252,46693.042423596,46693.042423596,1
okx,BTCUSDT,1678015680000,2023-03-05 11:28:00,22408.6,22410.2,22407.2,22407.3,1.8813421,42161.172749016,42161.172749016,1
okx,BTCUSDT,1678015740000,2023-03-05 11:29:00,22407.3,22407.3,22407.2,22407.3,0.27485959,6158.843658553,6158.843658553,1
okx,BTCUSDT,1678015800000,2023-03-05 11:30:00,22407.3,22407.3,22407.2,22407.2,0.3547625,7949.234693534,7949.234693534,1
okx,BTCUSDT,1678015860000,2023-03-05 11:31:00,22407.3,22407.3,22404.5,22404.5,1.63945451,36734.710205369,36734.710205369,1
okx,BTCUSDT,1678015920000,2023-03-05 11:32:00,22404.6,22404.6,22398.7,22398.7,0.3188631,7143.344041413,7143.344041413,1
