exchange,symbol,open_time_utc,open_time_ms,open,high,low,close,volume
coinbase,ETHUSD,2023-03-04 07:38:00,1677915480000,1569.86,1569.86,1569.65,1569.74,4.51290412
coinbase,ETHUSD,2023-03-04 07:39:00,1677915540000,1569.74,1569.83,1569.25,1569.32,33.85540065
coinbase,ETHUSD,2023-03-04 07:40:00,1677915600000,1569.31,1569.81,1569.3,1569.81,20.51569851
coinbase,ETHUSD,2023-03-04 07:41:00,1677915660000,1569.85,1570.1,1569.85,1570.02,7.34941079
coinbase,ETHUSD,2023-03-04 07:42:00,1677915720000,1570.01,1570.12,1569.49,1569.5,26.79651777
coinbase,ETHUSD,2023-03-04 07:43:00,1677915780000,1569.49,1569.49,1569.3,1569.31,5.8515518
coinbase,ETHUSD,2023-03-04 07:44:00,1677915840000,1569.31,1569.31,1569.04,1569.1,18.82325976
coinbase,ETHUSD,2023-03-04 07:45:00,1677915900000,1569.09,1569.11,1569.05,1569.09,11.92133827
coinbase,ETHUSD,2023-03-04 07:46:00,1677915960000,1569.09,1569.54,1569.09,1569.12,19.46098171
coinbase,ETHUSD,2023-03-04 07:47:00,1677916020000,1569.21,1569.38,1569.08,1569.38,9.76922674
coinbase,ETHUSD,2023-03-04 07:48:00,1677916080000,1569.38,1569.48,1569,1569.01,13.30500334
coinbase,ETHUSD,2023-03-04 07:49:00,1677916140000,1569,1569.1,1568.7,1568.74,39.68683881
coinbase,ETHUSD,2023-03-04 07:50:00,1677916200000,1568.74,1569.34,1568.67,1569.07,24.89906954
coinbase,ETHUSD,2023-03-04 07:51:00,1677916260000,1569.07,1569.13,1568.91,1569.06,4.46862134
coinbase,ETHUSD,2023-03-04 07:52:00,1677916320000,1569.05,1569.54,1569.01,1569.01,29.73462536
coinbase,ETHUSD,2023-03-04 07:53:00,1677916380000,1569.01,1569.06,1568.32,1568.35,20.67010555
coinbase,ETHUSD,2023-03-04 07:54:00,1677916440000,1568.39,1568.85,1568.39,1568.74,12.41879335
coinbase,ETHUSD,2023-03-04 07:55:00,1677916500000,1568.78,1569.04,1568.78,1569.04,3.7429706
coinbase,ETHUSD,2023-03-04 07:56:00,1677916560000,1569.03,1569.38,1569.03,1569.38,18.29695815
coinbase,ETHUSD,2023-03-04 07:57:00,1677916620000,1569.38,1569.9,1569.37,1569.76,30.31332466
coinbase,ETHUSD,2023-03-04 07:58:00,1677916680000,1569.72,1569.73,1569.16,1569.17,24.77198562
coinbase,ETHUSD,2023-03-04 07:59:00,1677916740000,1569.15,1569.15,1568.7,1568.7,10.94596831
coinbase,ETHUSD,2023-03-04 08:00:00,1677916800000,1568.74,1569.4,1568.74,1568.86,46.16017572
coinbase,ETHUSD,2023-03-04 08:00:00,1677916800000,1568.74,1569.4,1568.74,1568.86,46.16017572
coinbase,ETHUSD,2023-03-04 08:01:00,1677916860000,1569,1569,1568.49,1568.5,22.6038824
coinbase,ETHUSD,2023-03-04 08:02:00,1677916920000,1568.5,1568.5,1568.13,1568.4,29.25335036
coinbase,ETHUSD,2023-03-04 08:03:00,1677916980000,1568.4,1568.8,1568.1,1568.78,20.21044443
coinbase,ETHUSD,2023-03-04 08:04:00,1677917040000,1568.8,1568.8,1568.5,1568.62,6.81164959
coinbase,ETHUSD,2023-03-04 08:05:00,1677917100000,1568.57,1568.58,1568.49,1568.55,8.31957501
coinbase,ETHUSD,2023-03-04 08:06:00,1677917160000,1568.55,1568.58,1567.87,1567.96,19.95104714
coinbase,ETHUSD,2023-03-04 08:07:00,1677917220000,1567.96,1568.1,1567.96,1568.02,1.97765426
coinbase,ETHUSD,2023-03-04 08:08:00,1677917280000,1568.01,1568.03,1567.71,1567.72,12.0980612
coinbase,ETHUSD,2023-03-04 08:09:00,1677917340000,1567.73,1567.87,1567.49,1567.86,8.50702605
coinbase,ETHUSD,2023-03-04 08:10:00,1677917400000,1567.87,1567.99,1567.82,1567.85,6.34937066
coinbase,ETHUSD,2023-03-04 08:11:00,1677917460000,1567.85,1567.99,1567.69,1567.99,7.0885501
coinbase,ETHUSD,2023-03-04 08:12:00,1677917520000,1568,1568.86,1567.99,1568.2,32.27008576
coinbase,ETHUSD,2023-03-04 08:13:00,1677917580000,1568.21,1568.21,1567.67,1567.69,8.59828563
coinbase,ETHUSD,2023-03-04 08:14:00,1677917640000,1567.7,1567.77,1567.17,1567.66,41.21610995
coinbase,ETHUSD,2023-03-04 08:15:00,1677917700000,1567.67,1567.78,1567.5,1567.78,14.25316087
coinbase,ETHUSD,2023-03-04 08:16:00,1677917760000,1567.78,1568,1567.78,1568,4.22040314
coinbase,ETHUSD,2023-03-04 08:17:00,1677917820000,1567.99,1568.01,1567.65,1567.66,14.24662993
coinbase,ETHUSD,2023-03-04 08:18:00,1677917880000,1567.66,1567.89,1567.66,1567.76,3.7114249
coinbase,ETHUSD,2023-03-04 08:19:00,1677917940000,1567.76,1567.9,1567.75,1567.86,5.15467776
coinbase,ETHUSD,2023-03-04 08:20:00,1677918000000,1567.86,1568.18,1567.85,1568.11,34.62916722
coinbase,ETHUSD,2023-03-04 08:21:00,1677918060000,1568.07,1568.2,1567.97,1568.06,13.42086803
coinbase,ETHUSD,2023-03-04 08:22:00,1677918120000,1568.07,1568.17,1567.96,1567.96,21.37235937
coinbase,ETHUSD,2023-03-04 08:23:00,1677918180000,1567.95,1567.99,1567.85,1567.97,5.64576246
coinbase,ETHUSD,2023-03-04 08:24:00,1677918240000,1567.97,1568,1567.96,1568,7.95408439
coinbase,ETHUSD,2023-03-04 08:25:00,1677918300000,1567.99,1569.64,1567.99,1569.43,42.01129112
coinbase,ETHUSD,2023-03-04 08:26:00,1677918360000,1569.44,1569.44,1568.98,1569.21,59.82448085
coinbase,ETHUSD,2023-03-04 08:27:00,1677918420000,1569.2,1569.22,1568.91,1569.11,6.89402614
coinbase,ETHUSD,2023-03-04 08:28:00,1677918480000,1569.07,1569.42,1569.03,1569.14,17.5343169
coinbase,ETHUSD,2023-03-04 08:29:00,1677918540000,1569.18,1569.23,1569.05,1569.09,8.10928104
coinbase,ETHUSD,2023-03-04 08:30:00,1677918600000,1569.08,1569.61,1569.07,1569.44,20.81874986
coinbase,ETHUSD,2023-03-04 08:31:00,1677918660000,1569.44,1569.49,1569.25,1569.48,16.24303112
coinbase,ETHUSD,2023-03-04 08:32:00,1677918720000,1569.43,1569.47,1569.09,1569.09,17.8585113
coinbase,ETHUSD,2023-03-04 08:33:00,1677918780000,1569.1,1569.1,1567.61,1568.3,76.80241473
coinbase,ETHUSD,2023-03-04 08:34:00,1677918840000,1568.3,1568.41,1567.98,1567.98,5.04037871
coinbase,ETHUSD,2023-03-04 08:35:00,1677918900000,1567.9,1568.39,1567.81,1568.39,118.66028151
coinbase,ETHUSD,2023-03-04 08:36:00,1677918960000,1568.39,1568.49,1568.31,1568.46,8.50025097
coinbase,ETHUSD,2023-03-04 08:37:00,1677919020000,1568.41,1568.48,1568.05,1568.31,30.61574777
coinbase,ETHUSD,2023-03-04 08:38:00,1677919080000,1568.44,1568.44,1567.96,1568.14,9.79140289
coinbase,ETHUSD,2023-03-04 08:39:00,1677919140000,1568.05,1568.14,1568.05,1568.12,5.03396596
coinbase,ETHUSD,2023-03-04 08:40:00,1677919200000,1568.11,1568.49,1568.05,1568.06,23.9895645
coinbase,ETHUSD,2023-03-04 08:41:00,1677919260000,1568.06,1568.19,1567.4,1567.68,47.53759767
coinbase,ETHUSD,2023-03-04 08:42:00,1677919320000,1567.68,1567.82,1567.58,1567.65,10.81186045
coinbase,ETHUSD,2023-03-04 08:43:00,1677919380000,1567.64,1568.5,1567.61,1568.5,64.97477567
coinbase,ETHUSD,2023-03-04 08:44:00,1677919440000,1568.48,1568.48,1568.04,1568.18,9.41557794
coinbase,ETHUSD,2023-03-04 08:45:00,1677919500000,1568.19,1568.19,1567.79,1567.93,3.28178015
coinbase,ETHUSD,2023-03-04 08:46:00,1677919560000,1567.9,1568.29,1567.69,1568.02,25.35058989
coinbase,ETHUSD,2023-03-04 08:47:00,1677919620000,1568.03,1568.09,1567.87,1568.07,4.87492255
coinbase,ETHUSD,2023-03-04 08:48:00,1677919680000,1568.07,1568.14,1567.94,1568.03,5.334194
coinbase,ETHUSD,2023-03-04 08:49:00,1677919740000,1568.02,1568.07,1568.01,1568.02,7.2034538
coinbase,ETHUSD,2023-03-04 08:50:00,1677919800000,1568.1,1568.1,1567.9,1568.08,4.73313114
coinbase,ETHUSD,2023-03-04 08:51:00,1677919860000,1568.02,1568.27,1567.81,1567.81,28.09113825
coinbase,ETHUSD,2023-03-04 08:52:00,1677919920000,1567.93,1568.13,1567.82,1568.06,4.81702147
coinbase,ETHUSD,2023-03-04 08:53:00,1677919980000,1568.06,1568.32,1568.05,1568.24,7.14303579
coinbase,ETHUSD,2023-03-04 08:54:00,1677920040000,1568.27,1568.49,1568.27,1568.47,12.45874075
coinbase,ETHUSD,2023-03-04 08:55:00,1677920100000,1568.48,1569.19,1568.45,1569.19,8.80932106
coinbase,ETHUSD,2023-03-04 08:56:00,1677920160000,1569.2,1569.2,1568.28,1568.28,16.85583784
coinbase,ETHUSD,2023-03-04 08:57:00,1677920220000,1568.28,1568.28,1567.61,1567.64,19.70521276
coinbase,ETHUSD,2023-03-04 08:58:00,1677920280000,1567.69,1568.11,1567.62,1567.69,21.396624
coinbase,ETHUSD,2023-03-04 08:59:00,1677920340000,1567.75,1568.17,1567.75,1568.09,16.59219786
coinbase,ETHUSD,2023-03-04 09:00:00,1677920400000,1568.06,1568.34,1567.9,1568.29,11.76134846
coinbase,ETHUSD,2023-03-04 09:01:00,1677920460000,1568.29,1568.43,1568.05,1568.11,18.73774109
coinbase,ETHUSD,2023-03-04 09:02:00,1677920520000,1568.1,1568.21,1568.1,1568.17,0.88794198
