,exchange,symbol,open_time_utc,open,high,low,close,volume
2023-03-07 04:43:00+00:00,coinbase,BTCEUR,2023-03-07 04:43:00,21011.33,21012.14,21011.33,21012.14,0.00012005
2023-03-07 04:44:00+00:00,coinbase,BTCEUR,2023-03-07 04:43:00,21011.33,21012.14,21011.33,21012.14,0.0
2023-03-07 04:45:00+00:00,coinbase,BTCEUR,2023-03-07 04:45:00,21008.66,21011.36,21008.66,21011.36,0.04885825
2023-03-07 04:46:00+00:00,coinbase,BTCEUR,2023-03-07 04:46:00,21015.49,21015.49,21012.43,21012.43,0.35200291
2023-03-07 04:47:00+00:00,coinbase,BTCEUR,2023-03-07 04:47:00,21012.44,21012.44,21010.24,21010.24,0.02619683
2023-03-07 04:48:00+00:00,coinbase,BTCEUR,2023-03-07 04:48:00,21011.42,21011.42,21011.42,21011.42,0.00609733
2023-03-07 04:49:00+00:00,coinbase,BTCEUR,2023-03-07 04:49:00,21011.45,21014.45,21011.45,21014.45,0.0061524
2023-03-07 04:50:00+00:00,coinbase,BTCEUR,2023-03-07 04:49:00,21011.45,21014.45,21011.45,21014.45,0.0
2023-03-07 04:51:00+00:00,coinbase,BTCEUR,2023-03-07 04:51:00,21013.31,21013.32,21013.31,21013.32,0.12
2023-03-07 04:52:00+00:00,coinbase,BTCEUR,2023-03-07 04:52:00,21013.22,21013.32,21012.43,21013.32,0.24839112
2023-03-07 04:53:00+00:00,coinbase,BTCEUR,2023-03-07 04:52:00,21013.22,21013.32,21012.43,21013.32,0.0
2023-03-07 04:54:00+00:00,coinbase,BTCEUR,2023-03-07 04:54:00,21012.95,21014.22,21012.44,21014.22,0.71476671
2023-03-07 04:55:00+00:00,coinbase,BTCEUR,2023-03-07 04:55:00,21016.57,21016.59,21016.57,21016.59,0.0021707
2023-03-07 04:56:00+00:00,coinbase,BTCEUR,2023-03-07 04:56:00,21016.59,21022.2,21016.59,21022.2,0.08268595
2023-03-07 04:57:00+00:00,coinbase,BTCEUR,2023-03-07 04:57:00,21021.48,21023.26,21021.33,21023.24,0.45223529
2023-03-07 04:58:00+00:00,coinbase,BTCEUR,2023-03-07 04:58:00,21023.84,21027.12,21023.83,21027.01,0.85954188
2023-03-07 04:59:00+00:00,coinbase,BTCEUR,2023-03-07 04:59:00,21021.27,21021.27,21021.27,21021.27,0.12495571
2023-03-07 05:00:00+00:00,coinbase,BTCEUR,2023-03-07 05:00:00,21018.56,21024.83,21018.56,21024.83,0.6524385
2023-03-07 05:01:00+00:00,coinbase,BTCEUR,2023-03-07 05:01:00,21023.64,21024.42,21020.78,21020.79,0.83649654
2023-03-07 05:02:00+00:00,coinbase,BTCEUR,2023-03-07 05:02:00,21020.79,21022.31,21019.42,21022.31,0.42240908
2023-03-07 05:03:00+00:00,coinbase,BTCEUR,2023-03-07 05:03:00,21022.24,21024.95,21022.24,21024.56,0.35628294
2023-03-07 05:04:00+00:00,coinbase,BTCEUR,2023-03-07 05:04:00,21024.55,21024.58,21024.54,21024.55,0.27631603
2023-03-07 05:05:00+00:00,coinbase,BTCEUR,2023-03-07 05:05:00,21024.55,21024.55,21021.17,21021.17,0.13051488
2023-03-07 05:06:00+00:00,coinbase,BTCEUR,2023-03-07 05:06:00,21021.17,21021.17,21021.08,21021.08,0.06209891
2023-03-07 05:07:00+00:00,coinbase,BTCEUR,2023-03-07 05:07:00,21021.04,21022.72,21021.04,21022.25,0.0526526
2023-03-07 05:08:00+00:00,coinbase,BTCEUR,2023-03-07 05:08:00,21022.16,21022.16,21021.25,21022.01,0.04440332
2023-03-07 05:09:00+00:00,coinbase,BTCEUR,2023-03-07 05:09:00,21017.97,21018.18,21017.96,21018.03,0.143
2023-03-07 05:10:00+00:00,coinbase,BTCEUR,2023-03-07 05:10:00,21018.69,21020.01,21017.82,21020.0,0.03835037
